Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 11/16  24:00:00,0.944641977,3.817292409,0,3.291053829,0.088119521,0.088119521,0.088119521,0.255894671,0.053018496,0.140550925,0.391710364,0.499256079
 11/17  01:00:00,0.692713887,4.162908075,0,3.793653261,0.101576858,0.101576858,0.101576858,0.133278474,0.027613807,0.090892612,0.324004135,0.346936176
 11/17  02:00:00,0.590477839,4.167698691,0,3.869596916,0.103610286,0.103610286,0.103610286,0.079967085,0.016568276,0.07666173,0.298322463,0.277552189
 11/17  03:00:00,0.546502783,4.306384895,0,4.027419421,0.107836058,0.107836058,0.107836058,0.05331139,0.01104552,0.064098165,0.294863651,0.258654143
 11/17  04:00:00,0.536646687,4.368650487,0,4.084584437,0.109366678,0.109366678,0.109366678,0.05331139,0.01104552,0.056862021,0.290713078,0.264040626
 11/17  05:00:00,0.535718001,4.409753286,0,4.071066856,0.109004738,0.109004738,0.109004738,0.05331139,0.01104552,0.067277,0.279731353,0.319417469
 11/17  06:00:00,0.584609183,4.552048456,0,3.968672567,0.106263083,0.106263083,0.106263083,0.058642536,0.012150073,0.080047784,0.312157707,0.561873278
 11/17  07:00:00,0.731355596,4.748327202,0,3.708929033,0.099308327,0.099308327,0.099308327,0.101291641,0.020986482,0.133753612,0.360667534,1.014554016
 11/17  08:00:00,0.968421269,5.101219371,0,3.935619875,0.105378081,0.105378081,0.105378081,0.197252142,0.040868427,0.211338342,0.383236277,1.139200722
 11/17  09:00:00,0.937453114,4.630243888,0,3.501443548,0.093752805,0.093752805,0.093752805,0.191921003,0.039763875,0.272663295,0.324004135,1.106481702
